"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"G***";"Bildmarke_6x6mm";1;"Bildmarke_6x6mm";;;
2;"C1,C2,C8";"C_0805_2012Metric";3;"10uF";;;
3;"C3,C4,C5,C6,C7";"C_0805_2012Metric";5;"2.2uF";;;
4;"J1";"JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical";1;"JST_PH_Keypad";;;
5;"J2";"JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical";1;"JST_PH_Display";;;
6;"JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"SJ2";;;
7;"JP2";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"SJ1";;;
8;"Q1,Q2";"SOT-23";2;"BSS138";;;
9;"RN1,RN2,RN3,RN4";"R_Array_Convex_4x0603";4;"10K";;;
10;"SW1";"Infinitag_Keypad_Button";1;"key_up";;;
11;"SW2";"Infinitag_Keypad_Button";1;"key_down";;;
12;"SW3";"Infinitag_Keypad_Button";1;"key_left";;;
13;"SW4";"Infinitag_Keypad_Button";1;"key_right";;;
14;"SW5";"Infinitag_Keypad_Button";1;"key_back";;;
15;"SW6";"Infinitag_Keypad_Button";1;"key_enter";;;
16;"U1";"SOT94P279X129-5N";1;"RT9193";;;
17;"U2";"1X30-0.7MM";1;"UG-2864HSWEG01";;;
18;"D1,D2,D3";"D_0805_2012Metric";3;"1N4148";;;
19;"REF**";"infinitag_ssd1306";1;"infinitag_ssd1306";;;
20;"REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2_ISO7380";4;"MountingHole_2.2mm_M2_ISO7380";;;
