Jani;Tobi;Reference; Value; Footprint; Datasheet; Feld4; Feld5; Feld6; Feld7; Feld8
;X;C4;100nF;Capacitor_SMD:C_0805_2012Metric;~;;;;;
;X;C2;100nF;Capacitor_SMD:C_0805_2012Metric;~;;;;;
;X;C1;100nF;Capacitor_SMD:C_0805_2012Metric;~;;;;;
;X;C3;100nF;Capacitor_SMD:C_0805_2012Metric;~;;;;;
;X;C13;100nF;Capacitor_SMD:C_0805_2012Metric;~;;;;;
;X;C12;100nF;Capacitor_SMD:C_0805_2012Metric;~;;;;;
;X;C6;100nF;Capacitor_SMD:C_0805_2012Metric;~;;;;;
;X;C11;100nF;Capacitor_SMD:C_0805_2012Metric;~;;;;;
;X;R2;10K;Resistor_SMD:R_0805_2012Metric;~;;;;;
;X;R3;10K;Resistor_SMD:R_0805_2012Metric;~;;;;;
;X;R9;10K;Resistor_SMD:R_0805_2012Metric;~;;;;;
;X;R7;10K;Resistor_SMD:R_0805_2012Metric;~;;;;;
;X;R6;10K;Resistor_SMD:R_0805_2012Metric;~;;;;;
;X;R4;10K;Resistor_SMD:R_0805_2012Metric;~;;;;;
;-;C9;10uF;Capacitor_SMD:C_0805_2012Metric;~;;;;;
;X;R10;1K;Resistor_SMD:R_0805_2012Metric;~;;;;;
;X;R11;1K;Resistor_SMD:R_0805_2012Metric;~;;;;;
;X;R8;1K;Resistor_SMD:R_0805_2012Metric;~;;;;;
;-;R1;1M;Resistor_SMD:R_0805_2012Metric;~;;;;;
;-;C8;220uF/16V;Capacitor_SMD:CP_Elec_6.3x5.8;~;;;;;
;-;C5;220uF/16V;Capacitor_SMD:CP_Elec_6.3x5.8;~;;;;;
;-;C10;220uF/16V;Capacitor_SMD:CP_Elec_6.3x5.8;~;;;;;
;-;C15;220uF/16V;Capacitor_SMD:CP_Elec_6.3x5.8;~;;;;;
;-;C7;22pF;Capacitor_SMD:C_0805_2012Metric;~;;;;;
;-;L1;330uH;Inductor_SMD:L_Wuerth_HCI-1350;~;;;;;
;-;R5;50 Ohm;Resistor_SMD:R_0805_2012Metric;~;;;;;
;-;U5;AMS1117-3.3;Package_TO_SOT_SMD:SOT-223-3_TabPin2;http://www.advanced-monolithic.com/pdf/ds1117.pdf;;;;;
;-;RN2;Array 10K;Resistor_SMD:R_Array_Convex_4x0603;~;;;;;
;-;RN1;Array 10K;Resistor_SMD:R_Array_Convex_4x0603;~;;;;;
;-;RN3;Array 470;Resistor_SMD:R_Array_Convex_4x0603;~;;;;;
;-;D5;CD1206-S01575;Diode_SMD:D_0805_2012Metric;~;;;;;
;X;Y1;CSTCE16M0V53-R0;Crystal:Resonator_SMD-3Pin_7.2x3.0mm;~;;;;;
;X;J3;DFPlayer;Infinitag:DFPlayer;~;;;;;
;-;Q1;FDN304P;FDN304P:SSOT-3;SC-59 ON Semiconductor;FDN304P;Unavailable;P-Channel 20 V 52 mOhm 1.8V Surface Mount Specified PowerTrench Mosfet SSOT-3;ON Semiconductor;None
;X;U6;FT232RL;Package_SO:SSOP-28_5.3x10.2mm_P0.65mm;http://www.ftdichip.com/Products/ICs/FT232RL.htm;;;;;
;X;J6;ICSP;Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical;~;;;;;
;X;J17;Infinitag_Shield;Infinitag:Infinitag_Shield;~;;;;;
;X;U2;IRLML2502;IRLML2502TRPBF:SOT23;Single N-Channel 20 V 0.08 Ohm 12 nC 1.25 W Silicon SMT Mosfet - SOT-23;SOT-23-3 Infineon;Infineon;None;Unavailable;IRLML2502TRPBF
;X;J16;JSP_PH_Sensor;Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical;~;;;;;
;X;J8;JSP_PH_Sensor;Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical;~;;;;;
;-;J9;JST_PH_Display;Connector_JST:JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical;~;;;;;
;X;J11;JST_PH_Info;Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical;~;;;;;
;X;J12;JST_PH_IrLED;Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical;~;;;;;
;-;J18;JST_PH_Keypad;Connector_JST:JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical;~;;;;;
;X;J15;JST_PH_LEDbar_left;Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical;~;;;;;
;X;J7;JST_PH_LEDbar_right;Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical;~;;;;;
